Capability,Tool,Status,Integrated,Working
Port Scanning,masscan_2,Metadata Only,No,No
General,mass_assignment,Metadata Only,No,No
General,mcp_client,Metadata Only,No,No
General,mcp_manager,Metadata Only,No,No
General,mcp_setup,Metadata Only,No,No
General,memory_compressor,Metadata Only,No,No
General,message-handlers,Metadata Only,No,No
General,metrics-tracker,Metadata Only,No,No
General,models_1,Metadata Only,No,No
General,models_5,Metadata Only,No,No
Port Scanning,module_import,Metadata Only,No,No
General,monitor,Metadata Only,No,No
General,multi_agent,Metadata Only,No,No
General,MULTI_AGENT_EINO,Metadata Only,No,No
General,nikto_tool,Metadata Only,No,No
General,nmap-irc,Metadata Only,No,No
General,notifications,Metadata Only,No,No
General,no_nested_task,Metadata Only,No,No
General,ollama_api,Metadata Only,No,No
AI,openai,Metadata Only,No,No
General,openapi,Metadata Only,No,No
General,openapi-discovery-agent,Metadata Only,No,No
General,openapi_i18n,Metadata Only,No,No
General,openapi_parser,Metadata Only,No,No
AI,open_ai,Metadata Only,No,No
General,oracle-patator,Metadata Only,No,No
General,orchestrator-plan-execute,Metadata Only,No,No
General,orchestrator-supervisor,Metadata Only,No,No
General,orphan_tool_pruner_middleware,Metadata Only,No,No
General,osrframework,Metadata Only,No,No
General,package_1,Metadata Only,No,No
General,package_5,Metadata Only,No,No
General,parameter_mapper,Metadata Only,No,No
General,password_reset_weak,Metadata Only,No,No
General,path_traversal,Metadata Only,No,No
General,penetration,Metadata Only,No,No
AI,pentest-ai,Metadata Only,No,No
General,pentest_agent,Metadata Only,No,No
General,pentest_gpt,Metadata Only,No,No
General,pentest_gpt_rebuilt,Metadata Only,No,No
General,pent_claude_agent_config,Metadata Only,No,No
General,perplexity,Metadata Only,No,No
General,persistencetest,Metadata Only,No,No
General,playwright-config-writer,Metadata Only,No,No
General,plugin_loader_1,Metadata Only,No,No
General,poc_agent,Metadata Only,No,No
General,pom,Metadata Only,No,No
General,postman_parser,Metadata Only,No,No
General,pre-recon-code_2,Metadata Only,No,No
General,privilege_escalation_patch,Metadata Only,No,No
General,project_manager,Metadata Only,No,No
General,prototype_pollution,Metadata Only,No,No
General,pyproject,Metadata Only,No,No
General,quake_search,Metadata Only,No,No
General,queue,Metadata Only,No,No
General,race_condition,Metadata Only,No,No
General,reactive-verifier,Metadata Only,No,No
General,READMEzh-CN,Metadata Only,No,No
General,README_10,Metadata Only,No,No
General,README_11,Metadata Only,No,No
General,README_13,Metadata Only,No,No
General,README_15,Metadata Only,No,No
General,README_32,Metadata Only,No,No
General,README_33,Metadata Only,No,No
General,README_38,Metadata Only,No,No
General,README_50,Metadata Only,No,No
General,README_54,Metadata Only,No,No
General,README_55,Metadata Only,No,No
General,README_CN_3,Metadata Only,No,No
General,recon,Metadata Only,No,No
General,reconx_engine,Metadata Only,No,No
General,REFERENCE,Metadata Only,No,No
General,reflected_xss,Metadata Only,No,No
General,registry,Metadata Only,No,No
General,release-pypi,Metadata Only,No,No
General,replay,Metadata Only,No,No
Port Scanning,report-snippet,Metadata Only,No,No
Port Scanning,report_18,Metadata Only,No,No
Port Scanning,report_injector,Metadata Only,No,No
Port Scanning,report_injector_1,Metadata Only,No,No
General,requirements_6,Metadata Only,No,No
General,reset_juice_shop,Metadata Only,No,No
General,retrieval_postprocess,Metadata Only,No,No
General,retry,Metadata Only,No,No
General,review,Metadata Only,No,No
General,robot,Metadata Only,No,No
General,robot_en,Metadata Only,No,No
General,roles,Metadata Only,No,No
General,route_correlator,Metadata Only,No,No
General,RunCommand,Metadata Only,No,No
General,runner,Metadata Only,No,No
General,saml_xsw,Metadata Only,No,No
General,sandbox,Metadata Only,No,No
General,sanitize,Metadata Only,No,No
General,schedulertest,Metadata Only,No,No
General,scheduler_2,Metadata Only,No,No
General,schema-gen-agent,Metadata Only,No,No
General,scope,Metadata Only,No,No
General,search,Metadata Only,No,No
General,SecurityHeaderAnalyzertest,Metadata Only,No,No
