Repository,Location,Language,Status,Entry Point,Integration Type,Notes
settings_3,plugins\ai_systems\settings_3,Python,Metadata Only,,Plugin,
settings_4,plugins\ai_systems\settings_4,Python,Metadata Only,,Plugin,
skills,plugins\ai_systems\skills,Python,Metadata Only,,Plugin,
splash,plugins\ai_systems\splash,Python,Metadata Only,,Plugin,
sse_stream,plugins\ai_systems\sse_stream,Python,Metadata Only,,Plugin,
styles,plugins\ai_systems\styles,Python,Metadata Only,,Plugin,
summary-mapper,plugins\ai_systems\summary-mapper,Python,Metadata Only,,Plugin,
task_handler,plugins\ai_systems\task_handler,Python,Metadata Only,,Plugin,
task_manager,plugins\ai_systems\task_manager,Python,Metadata Only,,Plugin,
task_processor,plugins\ai_systems\task_processor,Python,Metadata Only,,Plugin,
task_tree_manager,plugins\ai_systems\task_tree_manager,Python,Metadata Only,,Plugin,
test-multibar,plugins\ai_systems\test-multibar,Python,Metadata Only,,Plugin,
test_async_prompt,plugins\ai_systems\test_async_prompt,Python,Metadata Only,,Plugin,
test_backend_interface,plugins\ai_systems\test_backend_interface,Python,Metadata Only,,Plugin,
test_base_agent_coverage,plugins\ai_systems\test_base_agent_coverage,Python,Metadata Only,,Plugin,
test_controller,plugins\ai_systems\test_controller,Python,Metadata Only,,Plugin,
test_cost_tracker,plugins\ai_systems\test_cost_tracker,Python,Metadata Only,,Plugin,
test_events,plugins\ai_systems\test_events,Python,Metadata Only,,Plugin,
test_install_planner,plugins\ai_systems\test_install_planner,Python,Metadata Only,,Plugin,
test_integration,plugins\ai_systems\test_integration,Python,Metadata Only,,Plugin,
test_langfuse,plugins\ai_systems\test_langfuse,Python,Metadata Only,,Plugin,
test_mcp_auth_session_reuse,plugins\ai_systems\test_mcp_auth_session_reuse,Python,Metadata Only,,Plugin,
test_mcp_client_and_hitl,plugins\ai_systems\test_mcp_client_and_hitl,Python,Metadata Only,,Plugin,
test_mcp_server,plugins\ai_systems\test_mcp_server,Python,Metadata Only,,Plugin,
test_output_parser,plugins\ai_systems\test_output_parser,Python,Metadata Only,,Plugin,
test_playbook,plugins\ai_systems\test_playbook,Python,Metadata Only,,Plugin,
test_stage2_integration,plugins\ai_systems\test_stage2_integration,Python,Metadata Only,,Plugin,
test_trigger_system,plugins\ai_systems\test_trigger_system,Python,Metadata Only,,Plugin,
test_web_agent_set_auth,plugins\ai_systems\test_web_agent_set_auth,Python,Metadata Only,,Plugin,
tmux_manager,plugins\ai_systems\tmux_manager,Python,Metadata Only,,Plugin,
tool_error_middleware,plugins\ai_systems\tool_error_middleware,Python,Metadata Only,,Plugin,
tool_error_middleware_test,plugins\ai_systems\tool_error_middleware_test,Python,Metadata Only,,Plugin,
tool_invoke_notify,plugins\ai_systems\tool_invoke_notify,Python,Metadata Only,,Plugin,
tracer,plugins\ai_systems\tracer,Python,Metadata Only,,Plugin,
trigger_system,plugins\ai_systems\trigger_system,Python,Metadata Only,,Plugin,
truncate_test,plugins\ai_systems\truncate_test,Python,Metadata Only,,Plugin,
tsdownconfig,plugins\ai_systems\tsdownconfig,Python,Metadata Only,,Plugin,
tui,plugins\ai_systems\tui,Python,Metadata Only,,Plugin,
types_7,plugins\ai_systems\types_7,Python,Metadata Only,,Plugin,
utils,plugins\ai_systems\utils,Python,Metadata Only,,Plugin,
validate,plugins\ai_systems\validate,Python,Metadata Only,,Plugin,
validate-authentication,plugins\ai_systems\validate-authentication,Python,Metadata Only,,Plugin,
validation-harness,plugins\ai_systems\validation-harness,Python,Metadata Only,,Plugin,
vulnerability-triage,plugins\ai_systems\vulnerability-triage,Python,Metadata Only,,Plugin,
Web,plugins\ai_systems\Web,Python,Metadata Only,,Plugin,
webshell_context,plugins\ai_systems\webshell_context,Python,Metadata Only,,Plugin,
webshell_context_test,plugins\ai_systems\webshell_context_test,Python,Metadata Only,,Plugin,
webshell_probe,plugins\ai_systems\webshell_probe,Python,Metadata Only,,Plugin,
wechat,plugins\ai_systems\wechat,Python,Metadata Only,,Plugin,
wireless_agent,plugins\ai_systems\wireless_agent,Python,Metadata Only,,Plugin,
workflow-logger,plugins\ai_systems\workflow-logger,Python,Metadata Only,,Plugin,
workflow_engine,plugins\ai_systems\workflow_engine,Python,Metadata Only,,Plugin,
_14,plugins\ai_systems\_14,Python,Metadata Only,,Plugin,
_rules_1,plugins\ai_systems\_rules_1,Python,Metadata Only,,Plugin,
_target_1,plugins\ai_systems\_target_1,Python,Metadata Only,,Plugin,
__init___109,plugins\ai_systems\__init___109,Python,Metadata Only,,Plugin,
__init___11,plugins\ai_systems\__init___11,Python,Metadata Only,,Plugin,
__init___141,plugins\ai_systems\__init___141,Python,Metadata Only,,Plugin,
__init___144,plugins\ai_systems\__init___144,Python,Metadata Only,,Plugin,
__init___17,plugins\ai_systems\__init___17,Python,Metadata Only,,Plugin,
__init___202,plugins\ai_systems\__init___202,Python,Metadata Only,,Plugin,
__init___211,plugins\ai_systems\__init___211,Python,Metadata Only,,Plugin,
__init___29,plugins\ai_systems\__init___29,Python,Metadata Only,,Plugin,
__init___31,plugins\ai_systems\__init___31,Python,Metadata Only,,Plugin,
__init___50,plugins\ai_systems\__init___50,Python,Metadata Only,,Plugin,
__init___52,plugins\ai_systems\__init___52,Python,Metadata Only,,Plugin,
__init___6,plugins\ai_systems\__init___6,Python,Metadata Only,,Plugin,
