Repository,Documentation Type,File,Status
express-scaffold,Usage/Info,plugins\api_security\express-scaffold\README.md,Recovered
external_mcp_test,Usage/Info,plugins\api_security\external_mcp_test\README.md,Recovered
extract_cookie,Usage/Info,plugins\api_security\extract_cookie\README.md,Recovered
facebook,Usage/Info,plugins\api_security\facebook\README.md,Recovered
feature-collector,Usage/Info,plugins\api_security\feature-collector\README.md,Recovered
forced_error,Usage/Info,plugins\api_security\forced_error\README.md,Recovered
frontend-i18n,Usage/Info,plugins\api_security\frontend-i18n\README.md,Recovered
gemini,Usage/Info,plugins\api_security\gemini\README.md,Recovered
gemini_api,Usage/Info,plugins\api_security\gemini_api\README.md,Recovered
getting-started,Usage/Info,plugins\api_security\getting-started\README.md,Recovered
gpt4all_api,Usage/Info,plugins\api_security\gpt4all_api\README.md,Recovered
graphql,Usage/Info,plugins\api_security\graphql\README.md,Recovered
graphql-scanner,Usage/Info,plugins\api_security\graphql-scanner\README.md,Recovered
graphql_introspection,Usage/Info,plugins\api_security\graphql_introspection\README.md,Recovered
graphql_tool,Usage/Info,plugins\api_security\graphql_tool\README.md,Recovered
hackertarget,Usage/Info,plugins\api_security\hackertarget\README.md,Recovered
harness,Usage/Info,plugins\api_security\harness\README.md,Recovered
hidden_discovery,Usage/Info,plugins\api_security\hidden_discovery\README.md,Recovered
