Repository,Primary Category,Secondary Category,Language,Recovery Score,Status
eino_retrieve_chain_test,AI Agents,Automation,Python,0.0,Wrapper Only
entrypoint_1,Utilities,Framework Components,Python,0.0,Wrapper Only
enum4linux,Utilities,Framework Components,Python,0.0,Wrapper Only
envexpand,Utilities,Framework Components,Python,0.0,Wrapper Only
env_1,Utilities,Framework Components,Python,0.0,Wrapper Only
error,Utilities,Framework Components,Python,0.0,Wrapper Only
eslintconfig,Utilities,Framework Components,Python,0.0,Wrapper Only
execute-python-script,Utilities,Framework Components,Python,0.0,Wrapper Only
external_manager,Utilities,Framework Components,Python,0.0,Wrapper Only
external_manager_test,Utilities,Framework Components,Python,0.0,Wrapper Only
external_mcp,Utilities,Framework Components,Python,0.0,Wrapper Only
falco,Utilities,Framework Components,Python,0.0,Wrapper Only
get-arch,Utilities,Framework Components,Python,0.0,Wrapper Only
goreleaser,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
index_14,Utilities,Framework Components,Python,0.0,Wrapper Only
index_7,Utilities,Framework Components,Python,0.0,Wrapper Only
install-python-package,Utilities,Framework Components,Python,0.0,Wrapper Only
issue_importer,Utilities,Framework Components,Python,0.0,Wrapper Only
jaeles,Utilities,Framework Components,Python,0.0,Wrapper Only
ldap-search,Utilities,Framework Components,Python,0.0,Wrapper Only
lint,Utilities,Framework Components,Python,0.0,Wrapper Only
loggercpython-313,Utilities,Framework Components,Python,0.0,Wrapper Only
logger_2,Utilities,Framework Components,Python,0.0,Wrapper Only
lookup-sid,Utilities,Framework Components,Python,0.0,Wrapper Only
main_14,AI Agents,Automation,Python,0.0,Wrapper Only
main_15,AI Agents,Automation,Python,0.0,Wrapper Only
main_server_http_redirect,AI Agents,Automation,Python,0.0,Wrapper Only
main_server_http_redirect_test,AI Agents,Automation,Python,0.0,Wrapper Only
mcp_reverse_shell,Utilities,Framework Components,Python,0.0,Wrapper Only
meta,Utilities,Framework Components,Python,35.0,Wrapper Only
nbtscan,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
nmap-finger,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-kerberos,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-msrpc,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-nntp,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-redis,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-rmi,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-sip,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-ssh,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-telnet,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap-tftp,Utilities,Framework Components,Python,0.0,Wrapper Only
nmap_tool_1,Utilities,Framework Components,Python,0.0,Wrapper Only
onesixtyone,Utilities,Framework Components,Python,0.0,Wrapper Only
oracle-odat,Utilities,Framework Components,Python,0.0,Wrapper Only
oracle-scanner,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
oracle-tnscmd,Utilities,Framework Components,Python,0.0,Wrapper Only
parallel_scans,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
paths,Utilities,Framework Components,Python,0.0,Wrapper Only
portscan-top-tcp-ports,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
pre-commit-config_1,Utilities,Framework Components,Python,0.0,Wrapper Only
process_registry,Utilities,Framework Components,Python,0.0,Wrapper Only
pyproject_5,Utilities,Framework Components,Python,0.0,Wrapper Only
README_CN,Utilities,Framework Components,Python,0.0,Wrapper Only
README_CN_2,Utilities,Framework Components,Python,0.0,Wrapper Only
reconFTW,Utilities,Framework Components,Python,15.0,Metadata Only
redirect-host-discovery,Utilities,Framework Components,Python,0.0,Wrapper Only
redis-cli,Utilities,Framework Components,Python,0.0,Wrapper Only
registry_2,Utilities,Framework Components,Python,0.0,Wrapper Only
release,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
requirements_14,Utilities,Framework Components,Python,0.0,Wrapper Only
requirements_15,Utilities,Framework Components,Python,0.0,Wrapper Only
requirements_5,Utilities,Framework Components,Python,0.0,Wrapper Only
resiliencetest,Utilities,Framework Components,Python,0.0,Wrapper Only
resolvers_test,Utilities,Framework Components,Python,0.0,Wrapper Only
resources,Utilities,Framework Components,Python,0.0,Wrapper Only
retrieval_postprocess_test,Utilities,Framework Components,Python,0.0,Wrapper Only
rigid,Utilities,Framework Components,Python,0.0,Wrapper Only
rigid_test,Utilities,Framework Components,Python,0.0,Wrapper Only
rpcclient,Utilities,Framework Components,Python,0.0,Wrapper Only
rpcdump,Utilities,Framework Components,Python,0.0,Wrapper Only
rsync-list-files,Utilities,Framework Components,Python,0.0,Wrapper Only
run,Utilities,Framework Components,Python,0.0,Wrapper Only
run-shannon-blackbox,Utilities,Framework Components,Python,0.0,Wrapper Only
run_all,Utilities,Framework Components,Python,0.0,Wrapper Only
run_bench,Utilities,Framework Components,Python,0.0,Wrapper Only
rustscan,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
rustscan_tool,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
server_https_bootstrap,Utilities,Framework Components,Python,0.0,Wrapper Only
shannon,Utilities,Framework Components,Python,15.0,Wrapper Only
showmount,Utilities,Framework Components,Python,0.0,Wrapper Only
sipvicious,Utilities,Framework Components,Python,0.0,Wrapper Only
sleep,Utilities,Framework Components,Python,0.0,Wrapper Only
smb-vuln,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
smbclient,Utilities,Framework Components,Python,0.0,Wrapper Only
smbmap,Utilities,Framework Components,Python,0.0,Wrapper Only
snmpwalk,Utilities,Framework Components,Python,0.0,Wrapper Only
SslTrustAll,Utilities,Framework Components,Python,0.0,Wrapper Only
subprocess_mixin,Utilities,Framework Components,Python,0.0,Wrapper Only
subprocess_runner,Utilities,Framework Components,Python,0.0,Wrapper Only
terminal_ws_unix,Utilities,Framework Components,Python,0.0,Wrapper Only
terrascan,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_cli_vps_count,Utilities,Framework Components,Python,0.0,Wrapper Only
test_ensure_webs_all,Web Enumeration,Content Discovery,Python,0.0,Wrapper Only
test_exec_context,Utilities,Framework Components,Python,0.0,Wrapper Only
test_injection,Utilities,Framework Components,Python,0.0,Wrapper Only
test_mcp_setup,Utilities,Framework Components,Python,0.0,Wrapper Only
test_permutation_wordlist_select,Utilities,Framework Components,Python,0.0,Wrapper Only
test_process_registry,Utilities,Framework Components,Python,0.0,Wrapper Only
test_profile_migration,Utilities,Framework Components,Python,0.0,Wrapper Only
test_resolver_env,Utilities,Framework Components,Python,0.0,Wrapper Only
test_secure_credential,Utilities,Framework Components,Python,0.0,Wrapper Only
test_target_expander,Utilities,Framework Components,Python,0.0,Wrapper Only
test_tracing_coverage,Utilities,Framework Components,Python,0.0,Wrapper Only
test_verbosity,Utilities,Framework Components,Python,0.0,Wrapper Only
trivy,Utilities,Framework Components,Python,0.0,Wrapper Only
tsconfig,Utilities,Framework Components,Python,0.0,Wrapper Only
tsconfigbase,Utilities,Framework Components,Python,0.0,Wrapper Only
tsconfig_1,Utilities,Framework Components,Python,0.0,Wrapper Only
turbo,Utilities,Framework Components,Python,0.0,Wrapper Only
webhooks,Web Enumeration,Content Discovery,Python,0.0,Wrapper Only
whatweb,Web Enumeration,Content Discovery,Python,15.0,Wrapper Only
winrm-detection,Utilities,Framework Components,Python,0.0,Wrapper Only
wordlist_test,Utilities,Framework Components,Python,0.0,Wrapper Only
_13,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___201,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___205,Utilities,Framework Components,Python,0.0,Wrapper Only
__init___51,Utilities,Framework Components,Python,0.0,Wrapper Only
activity-logger,Utilities,Framework Components,Python,0.0,Wrapper Only
activity-logger_1,Utilities,Framework Components,Python,0.0,Wrapper Only
bloodhound,Utilities,Framework Components,Python,0.0,Wrapper Only
domain-profiler,AI Agents,Automation,Python,0.0,Wrapper Only
error-formatter,Utilities,Framework Components,Python,0.0,Wrapper Only
